time,Behaviour
132.0,sniffs_correct
132.1,sniffs_correct
132.2,sniffs_correct
132.29999999999998,sniffs_correct
132.39999999999998,sniffs_correct
132.49999999999997,sniffs_correct
132.59999999999997,sniffs_correct
132.69999999999996,sniffs_correct
132.79999999999995,sniffs_correct
132.89999999999995,sniffs_correct
132.99999999999994,sniffs_correct
133.09999999999994,sniffs_correct
133.19999999999993,sniffs_correct
133.29999999999993,sniffs_correct
133.39999999999992,sniffs_correct
133.49999999999991,sniffs_correct
133.5999999999999,sniffs_correct
133.6999999999999,sniffs_correct
133.7999999999999,sniffs_correct
133.8999999999999,sniffs_correct
134.0,doesnt_sniff
134.1,doesnt_sniff
134.2,doesnt_sniff
134.29999999999998,doesnt_sniff
134.39999999999998,doesnt_sniff
134.49999999999997,doesnt_sniff
134.59999999999997,doesnt_sniff
134.69999999999996,doesnt_sniff
134.79999999999995,doesnt_sniff
134.8,sniffs_correct
134.9,sniffs_correct
135.0,sniffs_correct
135.1,sniffs_correct
135.2,sniffs_correct
135.29999999999998,sniffs_correct
135.39999999999998,sniffs_correct
135.49999999999997,sniffs_correct
135.59999999999997,sniffs_correct
135.69999999999996,sniffs_correct
135.79999999999995,sniffs_correct
135.89999999999995,sniffs_correct
135.99999999999994,sniffs_correct
136.09999999999994,sniffs_correct
136.19999999999993,sniffs_correct
136.29999999999998,doesnt_sniff
136.39999999999998,doesnt_sniff
136.49999999999997,doesnt_sniff
136.59999999999997,doesnt_sniff
136.69999999999996,doesnt_sniff
136.79999999999995,doesnt_sniff
136.89999999999995,doesnt_sniff
136.99999999999994,doesnt_sniff
137.09999999999994,doesnt_sniff
137.19999999999993,doesnt_sniff
137.29999999999993,doesnt_sniff
137.39999999999992,doesnt_sniff
137.49999999999991,doesnt_sniff
137.5999999999999,doesnt_sniff
137.6999999999999,doesnt_sniff
137.7999999999999,doesnt_sniff
137.8999999999999,doesnt_sniff
137.9999999999999,doesnt_sniff
138.0,sniffs_correct
138.1,sniffs_correct
138.2,sniffs_correct
138.29999999999998,sniffs_correct
138.39999999999998,sniffs_correct
138.49999999999997,sniffs_correct
138.59999999999997,sniffs_correct
138.69999999999996,sniffs_correct
138.79999999999995,sniffs_correct
138.89999999999995,sniffs_correct
138.99999999999994,sniffs_correct
139.09999999999994,sniffs_correct
139.19999999999993,sniffs_correct
139.29999999999993,sniffs_correct
139.39999999999992,sniffs_correct
139.49999999999991,sniffs_correct
139.5999999999999,sniffs_correct
139.6999999999999,sniffs_correct
139.7999999999999,sniffs_correct
139.8999999999999,sniffs_correct
139.9999999999999,sniffs_correct
140.1,doesnt_sniff
140.2,doesnt_sniff
140.29999999999998,doesnt_sniff
140.39999999999998,doesnt_sniff
140.49999999999997,doesnt_sniff
140.59999999999997,doesnt_sniff
140.69999999999996,doesnt_sniff
140.79999999999995,doesnt_sniff
140.89999999999995,doesnt_sniff
140.99999999999994,doesnt_sniff
141.09999999999994,doesnt_sniff
141.19999999999993,doesnt_sniff
141.29999999999993,doesnt_sniff
141.39999999999992,doesnt_sniff
141.49999999999991,doesnt_sniff
141.5999999999999,doesnt_sniff
141.6999999999999,doesnt_sniff
141.7999999999999,doesnt_sniff
141.8999999999999,doesnt_sniff
141.9999999999999,doesnt_sniff
142.09999999999988,doesnt_sniff
142.19999999999987,doesnt_sniff
142.29999999999987,doesnt_sniff
142.39999999999986,doesnt_sniff
142.49999999999986,doesnt_sniff
142.59999999999985,doesnt_sniff
